PERCENTAGE OF VISITS FOR INFLUENZA-LIKE-ILLNESS REPORTED BY SENTINEL PROVIDERS
REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
National,X,2017,40,1.26589,1.2802,7698,4976,X,9112,2142,1750,25678,4440,2005784
National,X,2017,41,1.30479,1.33123,8236,5352,X,8906,2146,1894,26534,4490,1993190
National,X,2017,42,1.34075,1.40786,8816,5610,X,9986,2278,1948,28638,4532,2034152
National,X,2017,43,1.51674,1.5722,10012,5844,X,11062,2648,2098,31664,4532,2013996
National,X,2017,44,1.74583,1.70326,10438,6578,X,12268,2730,2124,34138,4444,2004280
National,X,2017,45,1.88708,1.86636,12252,7218,X,13342,3044,2258,38114,4576,2042158
National,X,2017,46,2.05923,2.07647,13760,8486,X,15154,3610,2774,43784,4592,2108580
National,X,2017,47,2.27971,2.33593,13890,7688,X,11750,3414,2890,39632,4542,1696628
National,X,2017,48,2.28379,2.24637,14016,10470,X,14948,4412,3658,47504,4558,2114700
National,X,2017,49,2.58278,2.49504,14458,10092,X,16976,4670,3714,49910,4544,2000366
National,X,2017,50,3.36558,3.2005,16570,13342,X,22518,5910,4664,63004,4524,1968566
National,X,2017,51,4.73117,4.43807,20894,19712,X,28332,9160,7466,85564,4422,1927956
National,X,2017,52,5.70943,5.46361,22670,23014,X,23080,11508,10238,90510,4264,1656598
National,X,2018,1,5.74658,5.35765,18820,26766,X,23434,13742,11776,94538,4486,1764542
National,X,2018,2,5.89207,5.52437,20106,30760,X,34714,15544,12398,113522,4514,2054932
National,X,2018,3,6.51759,6.34528,23994,32024,X,43794,15138,11122,126072,4572,1986862
National,X,2018,4,7.16338,7.01811,26816,36634,X,61250,17822,12130,154652,4576,2203614
National,X,2018,5,7.52133,7.7809,29688,38172,X,74400,17830,11880,171970,4550,2210156
National,X,2018,6,7.38748,7.76939,30384,39054,X,77212,17252,11748,175650,4598,2260794
National,X,2018,7,6.44688,6.81176,26730,34406,X,64248,16158,10878,152420,4454,2237600
National,X,2018,8,4.95881,5.15749,20308,24874,X,40900,11610,8358,106050,4544,2056232
National,X,2018,9,3.68612,3.55945,14416,16970,X,26784,8208,5750,72128,4416,2026382
National,X,2018,10,3.18626,3.00518,12736,12970,X,21700,6276,4584,58266,4428,1938854
National,X,2018,11,2.76894,2.73038,11176,11856,X,18936,5644,4264,51876,4402,1899956
National,X,2018,12,2.48706,2.47768,10446,10816,X,17280,5126,3942,47610,4360,1921558
National,X,2018,13,2.40802,2.36314,9442,9440,X,14428,4590,3486,41386,4288,1751316
National,X,2018,14,2.07483,2.03139,9106,8918,X,12436,4306,3382,38148,4254,1877926
National,X,2018,15,1.77898,1.80376,8290,7498,X,11010,3636,2894,33328,4172,1847696
National,X,2018,16,1.61487,1.58696,7712,6428,X,10538,2854,2206,29738,4224,1873900
National,X,2018,17,1.5385,1.53801,7446,6052,X,10672,2742,2192,29104,4176,1892320
National,X,2018,18,1.52612,1.44974,7316,5208,X,9630,2434,1994,26582,4036,1833566
National,X,2018,19,1.28847,1.27729,6888,4410,X,8266,1870,1804,23238,3866,1819322
National,X,2018,20,1.18344,1.22051,6718,4478,X,7528,1810,1598,22132,3954,1813336
National,X,2018,21,1.24919,1.23235,6770,4164,X,6858,1768,1732,21292,3792,1727758
National,X,2018,22,1.14131,1.223,6440,3644,X,5974,1692,1466,19216,3604,1571212
National,X,2018,23,0.9878,1.0473,5694,3676,X,5104,1604,1308,17386,3596,1660080
National,X,2018,24,0.895565,0.978113,4750,3192,X,4490,1398,1316,15146,3506,1548492
National,X,2018,25,0.892204,0.947548,4624,3108,X,4324,1458,1232,14746,3546,1556228
National,X,2018,26,0.877184,0.867554,4412,3060,X,3832,1338,1252,13894,3472,1601514
National,X,2018,27,0.780203,0.82328,4018,2598,X,3724,1078,1098,12516,3560,1520260
National,X,2018,28,0.725075,0.771497,3886,2886,X,3802,1254,1174,13002,3570,1685294
National,X,2018,29,0.68247,0.706819,3482,2580,X,3440,1132,938,11572,3496,1637194
National,X,2018,30,0.640393,0.685155,3330,2404,X,3286,1048,926,10994,3482,1604600
National,X,2018,31,0.639127,0.687351,3236,2492,X,3538,1050,908,11224,3448,1632936
National,X,2018,32,0.705637,0.735733,3452,2668,X,3568,1082,952,11722,3380,1593242
National,X,2018,33,0.707801,0.806048,3972,2774,X,4340,1032,956,13074,3450,1621988
National,X,2018,34,0.822659,0.944013,4478,2984,X,4936,1218,1030,14646,3220,1551462
National,X,2018,35,0.859864,0.960101,4890,3276,X,5660,1312,1084,16222,3362,1689614
National,X,2018,36,1.10083,1.14128,5628,3970,X,6686,1534,1242,19060,3420,1670054
National,X,2018,37,1.15323,1.14784,5546,4224,X,7320,1658,1382,20130,3416,1753724
National,X,2018,38,1.20178,1.31156,6484,4694,X,7898,1844,1458,22378,3368,1706218
National,X,2018,39,1.2498,1.26102,6962,4976,X,8396,1862,1338,23534,3420,1866260
National,X,2018,40,1.41876,1.41974,4887,3886,X,6341,1563,1298,17975,2611,1266076
National,X,2018,41,1.40077,1.473,5332,4048,X,6279,1667,1326,18652,2651,1266257
National,X,2018,42,1.47139,1.58968,5589,4405,X,6802,1752,1400,19948,2623,1254844
National,X,2018,43,1.63634,1.72208,6249,4619,X,7487,1835,1444,21634,2678,1256271
National,X,2018,44,1.79125,1.84114,6869,4733,X,8291,1825,1451,23169,2666,1258405
National,X,2018,45,1.86871,1.92692,7509,4834,X,8451,1840,1451,24085,2672,1249921
National,X,2018,46,1.98121,2.0852,7821,5037,X,8076,1998,1487,24419,2665,1171062
National,X,2018,47,2.23487,2.40063,8607,5017,X,7197,2112,1702,24635,2618,1026187
National,X,2018,48,2.14572,2.24479,8890,6582,X,8788,2758,2078,29096,2666,1296156
National,X,2018,49,2.25134,2.29962,8809,5974,X,9276,2456,1862,28377,2658,1233986
National,X,2018,50,2.6411,2.73181,10156,6821,X,11376,2779,1981,33113,2650,1212127
National,X,2018,51,3.13478,3.24012,11515,8127,X,12816,3322,2480,38260,2596,1180820
National,X,2018,52,3.96538,4.18077,13615,10348,X,12044,4471,3534,44012,2581,1052725
National,X,2019,1,3.45972,3.63095,11686,11413,X,9572,5204,4260,42135,2630,1160440
National,X,2019,2,3.07558,3.13643,9369,10416,X,10758,4826,3446,38815,2656,1237552
National,X,2019,3,3.3258,3.36213,9703,10045,X,14265,4235,2951,41199,2658,1225384
National,X,2019,4,3.79773,3.88115,10765,11194,X,16965,4457,2860,46241,2677,1191426
National,X,2019,5,4.34227,4.52235,11628,13048,X,22217,5116,3255,55264,2668,1222020
National,X,2019,6,4.86953,5.20091,13899,15785,X,29772,6174,4102,69732,2673,1340765
National,X,2019,7,5.03689,5.42034,14246,15945,X,29255,6333,4277,70056,2655,1292464
National,X,2019,8,4.8812,5.27078,13634,15716,X,26502,6124,4485,66461,2655,1260932
National,X,2019,9,4.54791,4.58991,11647,13847,X,23468,5706,4134,58802,2658,1281115
National,X,2019,10,4.3762,4.39714,11168,13079,X,21760,5368,4056,55431,2637,1260615
National,X,2019,11,4.22692,4.12777,10986,12580,X,20081,5353,4177,53177,2646,1288273
National,X,2019,12,3.68251,3.50278,9721,10717,X,16800,4532,3898,45668,2653,1303765
National,X,2019,13,3.08559,3.04819,8644,8656,X,13642,3811,3195,37948,2619,1244935
National,X,2019,14,2.69831,2.67984,7606,7491,X,11768,3274,2802,32941,2620,1229217
National,X,2019,15,2.28676,2.26612,6754,6208,X,10005,2568,2319,27854,2568,1229148
National,X,2019,16,2.01217,1.96484,6325,4934,X,7904,2108,1876,23147,2542,1178058
National,X,2019,17,1.71323,1.72201,5698,4553,X,6621,2000,1738,20610,2516,1196855
National,X,2019,18,1.56678,1.5728,5369,4084,X,6207,1667,1537,18864,2485,1199386
National,X,2019,19,1.49827,1.45718,4789,3574,X,5906,1480,1358,17107,2444,1173980
National,X,2019,20,1.49961,1.50332,4649,3482,X,5530,1437,1361,16459,2336,1094840
National,X,2019,21,1.42123,1.40257,4601,3214,X,5234,1347,1367,15763,2224,1123869
National,X,2019,22,1.39258,1.40358,4442,3094,X,4660,1279,1301,14776,2196,1052737
National,X,2019,23,1.21697,1.23749,3937,2952,X,4115,1242,1205,13451,2258,1086961
National,X,2019,24,1.11266,1.12161,3506,2729,X,3741,1051,1079,12106,2206,1079343
National,X,2019,25,0.991888,1.01276,3056,2425,X,3288,998,928,10695,2159,1056024
National,X,2019,26,0.946401,0.959768,2955,2183,X,3117,910,862,10027,2084,1044732
National,X,2019,27,0.874695,0.878917,2512,1911,X,2726,797,776,8722,2154,992358
National,X,2019,28,0.809169,0.794181,2346,1882,X,2661,799,737,8425,2111,1060841
National,X,2019,29,0.75452,0.766394,2222,1862,X,2571,757,704,8116,2154,1058986
National,X,2019,30,0.732983,0.748613,2138,1805,X,2466,763,615,7787,2140,1040191
National,X,2019,31,0.725811,0.757116,2354,1830,X,2438,658,604,7884,2151,1041320
National,X,2019,32,0.754209,0.770094,2102,2042,X,2392,766,758,8060,2167,1046625
National,X,2019,33,0.729672,0.833506,2634,2047,X,2831,788,694,8994,2200,1079056
National,X,2019,34,0.839875,0.94034,2911,2211,X,3503,762,716,10103,2170,1074399
National,X,2019,35,0.989358,1.08197,3428,2559,X,4244,896,777,11904,2193,1100212
National,X,2019,36,1.1354,1.20216,3810,2927,X,4548,1033,870,13188,2217,1097022
National,X,2019,37,1.23124,1.27291,3912,3297,X,5502,1173,959,14843,2247,1166071
National,X,2019,38,1.24448,1.3881,4469,3577,X,5678,1251,1026,16001,2224,1152730
National,X,2019,39,1.3379,1.49515,4981,3882,X,6121,1368,1101,17453,2211,1167311
National,X,2019,40,1.49002,1.50284,6219,4827,X,7658,1764,1448,21916,2912,1458307
National,X,2019,41,1.59192,1.59764,6550,5148,X,7638,2015,1603,22954,2942,1436748
National,X,2019,42,1.72572,1.73931,7287,5548,X,8292,2110,1649,24886,2966,1430800
National,X,2019,43,1.83419,1.86039,7892,6080,X,9349,2305,1793,27419,2997,1473831
National,X,2019,44,2.04008,2.01412,8658,6143,X,10068,2279,1762,28910,3005,1435369
National,X,2019,45,2.39351,2.36364,10557,7182,X,12551,2453,1843,34586,3022,1463253
National,X,2019,46,2.63251,2.64428,11446,7905,X,13671,2741,1969,37732,2991,1426928
National,X,2019,47,2.89941,2.97387,12716,9138,X,17058,3101,2148,44161,2987,1484969
